code_op;nom_op;num_site;id_station_anfr;x;y;latitude;longitude;nom_reg;nom_dep;insee_dep;nom_com;insee_com;site_2g;site_3g;site_4g;site_5g;date_ouverturecommerciale_5g;site_5g_700_m_hz;site_5g_800_m_hz;site_5g_1800_m_hz;site_5g_2100_m_hz;site_5g_3500_m_hz
34004;Free Caraïbe;17312;9730980304;287176;572670;5,17807;-52,92002;Guyane;Guyane;973;Sinnamary;97312;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17313;9730980224;309678;567937;5,13586;-52,71697;Guyane;Guyane;973;Kourou;97304;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17318;9730980076;174013;613874;5,54641;-53,94197;Guyane;Guyane;973;Saint-Laurent-du-Maroni;97311;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17319;9730980075;182170;625024;5,64752;-53,86891;Guyane;Guyane;973;Mana;97306;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17322;9730980074;351728;527847;4,77418;-52,33697;Guyane;Guyane;973;Matoury;97307;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17323;9730980062;331809;535383;4,84196;-52,51669;Guyane;Guyane;973;Montsinéry-Tonnegrande;97313;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17324;9730980051;340611;530419;4,79724;-52,43724;Guyane;Guyane;973;Montsinéry-Tonnegrande;97313;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17325;9730980049;336614;534635;4,83529;-52,47336;Guyane;Guyane;973;Montsinéry-Tonnegrande;97313;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17326;9730980047;345694;529917;4,7928;-52,39141;Guyane;Guyane;973;Montsinéry-Tonnegrande;97313;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17327;9730980070;341833;525963;4,75697;-52,42614;Guyane;Guyane;973;Roura;97310;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17328;9730980071;345492;521809;4,71946;-52,39308;Guyane;Guyane;973;Roura;97310;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17330;9730980080;350192;514090;4,64974;-52,35058;Guyane;Guyane;973;Roura;97310;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17331;9730980220;187844;620201;5,60419;-53,81753;Guyane;Guyane;973;Mana;97306;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17333;9730980311;336535;554539;5,0153;-52,47447;Guyane;Guyane;973;Macouria;97305;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17340;9730980310;352896;541789;4,9003;-52,32669;Guyane;Guyane;973;Cayenne;97302;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17341;9730980189;129714;570094;5,14891;-54,33918;Guyane;Guyane;973;Apatou;97360;0;1;1;0;;0;0;0;0;0
34004;Free Caraïbe;17343;9730980190;124740;473106;4,27279;-54,37975;Guyane;Guyane;973;Grand-Santi;97357;0;1;1;0;;0;0;0;0;0
